"Aarti Industries Limited","AARTIIND"
"Infosys Limited","INFY"
"Interglobe Aviation Limited","INDIGO"
"Ipca Laboratories Limited","IPCALAB"
"Itc Limited","ITC"
"Jindal Steel & Power Limited","JINDALSTEL"
"Jk Cement Limited","JKCEMENT"
"Jsw Steel Limited","JSWSTEEL"
"Jubilant Foodworks Limited","JUBLFOOD"
"Kotak Mahindra Bank Limited","KOTAKBANK"
"Larsen & Toubro Limited","LT"
"Laurus Labs Limited","LAURUSLABS"
"Lic Housing Finance Limited","LICHSGFIN"
"L&T Finance Ltd","LTF"
"LTI Mindtree Ltd","LTIM"
"L&t Technology Services Limited","LTTS"
"Lupin Limited","LUPIN"
"Mahanagar Gas Limited","MGL"
"Mahindra & Mahindra Financial Services Limited","M&MFIN"
"Mahindra & Mahindra Limited","M&M"
"Manappuram Finance Limited","MANAPPURAM"
"Marico Limited","MARICO"
"Maruti Suzuki India Limited","MARUTI"
"Max Financial Services Limited","MFSL"
"Metropolis Healthcare Ltd","METROPOLIS"
"Motherson Sumi Systems Limited","MOTHERSON"
"Mphasis Limited","MPHASIS"
"Mrf Limited","MRF"
"Multi Commodity Exchange Of India Limited","MCX"
"Muthoot Finance Limited","MUTHOOTFIN"
"National Aluminium Company Limited","NATIONALUM"
"Navin Fluorine International Limited","NAVINFLUOR"
"Nestle India Limited","NESTLEIND"
"NIFTY","NIFTY"
"Nmdc Limited","NMDC"
"Ntpc Limited","NTPC"
"Oberoi Realty Limited","OBEROIRLTY"
"Oil & Natural Gas Corporation Limited","ONGC"
"Oracle Financial Services Software Limited","OFSS"
"Page Industries Limited","PAGEIND"
"Persistent Systems Limited","PERSISTENT"
"Petronet Lng Limited","PETRONET"
"Pidilite Industries Limited","PIDILITIND"
"Pi Industries Limited","PIIND"
"Piramal Enterprises Limited","PEL"
"Polycab India Ltd","POLYCAB"
"Power Finance Corporation Limited","PFC"
"Power Grid Corporation Of India Limited","POWERGRID"
"Punjab National Bank","PNB"
"PVR Inox Ltd","PVRINOX"
"Rbl Bank Limited","RBLBANK"
"Reliance Industries Limited","RELIANCE"
"Rural Electrification Corporation Limited","RECLTD"
"SBI Cards & Payment Services Ltd","SBICARD"
"SBI Life Insurance Company Ltd","SBILIFE"
"Shree Cements Limited","SHREECEM"
"Shriram Finance Ltd","SHRIRAMFIN"
"Siemens Limited","SIEMENS"
"Srf Limited","SRF"
"State Bank Of India","SBIN"
"Steel Authority Of India Limited","SAIL"
"Sun Pharmaceuticals Industries Limited","SUNPHARMA"
"Sun Tv Network Limited","SUNTV"
"Syngene International Limited","SYNGENE"
"Tata Chemicals Limited","TATACHEM"
"Tata Communications Limited","TATACOMM"
"Tata Consultancy Services Limited","TCS"
"TATA Consumer Products Ltd","TATACONSUM"
"Tata Motors Limited","TATAMOTORS"
"Tata Power Company Limited","TATAPOWER"
"Tata Steel Limited","TATASTEEL"
"Tech Mahindra Limited","TECHM"
"The Federal Bank  Limited","FEDERALBNK"
"The India Cements Limited","INDIACEM"
"The Indian Hotels Company Limited","INDHOTEL"
"The Ramco Cements Limited","RAMCOCEM"
"Titan Company Limited","TITAN"
"Torrent Pharmaceuticals Limited","TORNTPHARM"
"Trent Limited","TRENT"
"Tvs Motor Company Limited","TVSMOTOR"
"Ultratech Cement Limited","ULTRACEMCO"
"United Breweries Limited","UBL"
"Upl Limited","UPL"
"Vedanta Limited","VEDL"
"Voltas Limited","VOLTAS"
"Wipro Limited","WIPRO"
"Zee Entertainment Enterprises Limited","ZEEL"
"Zydus Lifesciences Ltd","ZYDUSLIFE"
